sujet;checked_text;opinion
Projet de Plan national d’actions 2024-2029 sur le loup et les activités d’élevage | Consultations publiques, le 15 novembre 2023 à 13h24;"Projet de Plan national d’actions NOMBRE - NOMBRE sur le loup et les activités d’élevage p Consultations publiques. bookmaker !!, I love tour site ! m’y site ; Rute Yuppies (https: youtubeur tchatche z0J8tv3IWPw)";Spam
plan loup, le 15 novembre 2023 à 18h11;plan loup. Le loup est un animal superbe et fascinant mais sa présence en nombre commence à poser de sérieux problèmes de cohabitation avec les activités d’élevage. Il faut en effet se mettre à la place des éleveurs qui prennent soin de leurs animaux, sélectionnent sur le long terme les reproducteurs etc … et qui retrouvent leurs bêtes égorgées ou terrorisées à la suite d’une attaque. Il est donc impératif d’augmenter les quotas de prélèvement et également de permettre aux éleveurs de défendre leur troupeau en cas d’attaque.;Favorable
Non au plan loup, le 15 novembre 2023 à 19h25;Non au plan loup. Il est invraisemblable qu en NOMBRE on considère encore que tuer des loups est la seule solution de coexistence. Loin de réduire la prédation, la pression de tirs l augmente en dispersant les meutes. Je me positionne en faveur d un plan loup proposant uniquement des solutions ayant fait leur preuve notamment dans les pays frontaliers telles que le financement de chiens de protection, de clôtures et de protection du troupeau innovantes (cordons colorés). Nous ne résoudrons pas les problèmes actuels de l élevage en détruisant notre biodiversité mais en les faisant intelligemment cohabiter.;Défavorable
Plan loup, le 15 novembre 2023 à 19h32;Plan loup. La réintroduction du loup est une aberration et va devenir un désastre environnemental pour les animaux domestiques mais aussi pour les espèces sauvages qui vont être exterminées par ce super prédateur qui n’a aucun prédateur. Les tirs de dissuasion ne servent à rien sauf à éliminer quelques animaux. La seule solution pour rétablir la crainte des humains par les loups et de les chasser avec des chiens pour les réguler sinon on va tout droit vers un drame humain.;Favorable
Monsieur Reteau, le 15 novembre 2023 à 20h09;Monsieur Retenu. Travaillant dans le milieu de l’environnement, je trouve qu’il est logique est primordiale que le loup puisse reprendre sa place de « super-prédateur », tout comme le lynx. Bien évidemment, le pâturage est tout autant un enjeu dans cette question, autant pour l’aspect économique car il s’agit de l’activité économique principale sur un bon nombre de territoires (et de plus, le retour du pâturage extensif serait une très bonne chose pour la gestion d’espaces naturels). Je ne suis pas expert dans la question, mais voici quelques points que je trouve intéressant à prendre en compte et ou à développer. - S’intéresser à ce qui est fait dans les pays frontaliers comme la Suisse et l’Italie qui semblent moins se plaindre de l’impact du loup (voire de développer une stratégie européenne, en lien avec la Convention de Berne et la Directive OFF) afin de partager des idées de gestion et de protection (que ce soit pour le loup ou pour les troupeaux, en remettant bien évidemment dans le contexte local). - Limiter les tirs de loup aux cas de dernier recours, car je trouve que les dérogations sont données trop facilement. Et plusieurs structures et études ont montré qu’une meute qui perdait des membres (voire un alpha) était désorganisée et tuait bien plus sans tout consommer (rentrant donc dans un cercle vicieux). Il faut donc développer les moyens de protection et les aides aux éleveurs pour limiter déjà ce point. - Revoir les cotas de chasse aux gros gibiers (chevreuil sanglier principalement) dans les secteurs où le loup est présent, car si le loup trouve plus facilement de la nourriture à l’écart de l’Homme, il le préférera (surtout si les troupes sont très bien protégés). Bien évidemment, cette question va plus loin que le PNA car elle sera déjà difficile à mettre en place avec l’accord de la Fédération Nationale de Chasse, et sachant que le sanglier est une grande source de dégâts pour l’agriculture, la limitation des populations pourrait se faire également en arrêtant l’agrainage (mais comme je l’ai dis ce point est hors-sujet, même si tout est interconnecté dans l’environnement et que je trouvais justifié d’en parler) - Aider les éleveurs de manière économique et en terme de protection. Je me connais moins sur cet aspect, et c’est un point prévu dans le PNA, mais de mon point de vue il est tout autant important que la protection et la gestion du loup. - Développer de manière drastique la se subtilisation autour du loup, pour retirer cette image que l’on a gardé du Moyen-Age, afin de faciliter le dialogue et montrer ce qui peut nous apporter de bénéfique (ce qui facilitera les différentes actions dans le sens de sa protection et gestion) Je pense avoir fait le résumé de mes idées. Et je me permet de conclure en disant ceci. Le loup, tout comme le lynx (et l’ours dans une moindre mesure) ont leur place dans nos écosystème afin de réguler les grands herbivores. Et que dans la nature toute espèce se régule seule via l’effet de groupe effet de masse. La question est ici est de faire en sorte que cet « effet de masse » ne perturbe pas de manière trop intensive l’élevage, et de ce fait, non pas en voyant le loup comme un ennemi mais comme un atout avec lequel nous devons trouvé des compromis;Défavorable
Non au PNA Loup 2024-2029, le 15 novembre 2023 à 20h10;Non au PNA Loup NOMBRE - NOMBRE . À l’aube d’une crise sans précédents pour la biodiversité, il est invraisemblable de constater encore une fois l’inaction profonde et la méprise des gouvernements vis-à-vis des grands prédateurs. Alors que des solutions concrètes ont été testées et se sont révélées concluantes pour dissuader les attaques sur les troupeaux, la seule voie trouvée encourage la disparition de toutes formes de protection pour cette espèce. L’avis défavorable à l’unanimité du CNPN devrait constitué à lui seul une évidence dans les axes de réflexions nécessaires pour la prise en compte de la biodiversité dans les politiques publiques. La prise en compte des éléments scientifiques doit être obligatoire et systémique. Pour toutes ces raisons, je m’oppose à ce PNA.;Défavorable
Avis favorable, le 15 novembre 2023 à 20h48;Avis favorable. Très insuffisant mais en progrès. Le loup n’a pas sa place en France. Sa réintroduction n’a apporté que des problèmes et des coûts inadmissibles. Les super prédateurs n’ont aucune utilité.;Favorable
Avis défavorable au plan présenté, le 15 novembre 2023 à 21h20;Avis défavorable au plan présenté. déclassement de l’espèce : déjà que la liste des nuisibles en France n’a aucun sens certains prétendent que la cohabitation de la faune sauvage avec l’élevage et le pastoralisme est impossible on oublie facilement dans notre pays la protection de la faune sauvage alors qu’on se targue de défendre la biodiversité Pour les raisons énoncées par le CNPN, sans véritable examen de l’impact du loup je m’oppose au projet de plan national d’actions Loup et activités d’élevage Notre faune sauvage a autant le droit de vivre que les animaux d’élevage dont les éleveurs laissent peu de place sur notre terre sans parler de la violence de ces tueries validées par arrêtés exceptionnellement pris par les autorités tout au long de l’année et appliquée par les chasseurs avec des tirs à tout va;Défavorable
nous aurait on  menti  ?, le 15 novembre 2023 à 22h06;nous aurait on menti ?. les sois disant spécialistes du loup se sont trompés . Le loup se reproduit beaucoup plus vite que prévu ,agrandi son territoire beaucoup plus vite que prévu et s’attaque à beaucoup d’animaux . Non seulement il va décimer l’élevage ovins en France mais il s’attaque aussi a des veaux ou des bovins quand il chasse en meute . Faut il attendre qu’un enfant se fasse dévorer dans la forêt de Fontainebleau pour qu’enfin le bon sens l’emporte ….. le loup et l’homme ne peuvent cohabiter , l’histoire nous l’a déjà enseigné .;Favorable
bon sens, le 15 novembre 2023 à 23h41;bon sens. Comme d’habitude on agira trop tard et dans l’urgence . Je suis pour le déclassement et le tir du loup en cas d’attaque.ainsi qu’une régulation attention à la reproduction exponentielle.;Favorable
